swish-python-master,client.py,ignore_except_block,11
personfinder-master,test_jautils.py,assert_used,54
personfinder-master,test_jautils.py,assert_used,55
personfinder-master,test_jautils.py,assert_used,56
personfinder-master,test_jautils.py,assert_used,57
personfinder-master,test_jautils.py,assert_used,58
personfinder-master,test_jautils.py,assert_used,59
personfinder-master,test_jautils.py,assert_used,60
personfinder-master,test_jautils.py,assert_used,61
personfinder-master,test_jautils.py,assert_used,63
personfinder-master,test_jautils.py,assert_used,65
personfinder-master,test_jautils.py,assert_used,67
personfinder-master,test_jautils.py,assert_used,70
personfinder-master,test_jautils.py,assert_used,73
personfinder-master,test_jautils.py,assert_used,76
personfinder-master,test_jautils.py,assert_used,81
personfinder-master,test_jautils.py,assert_used,84
personfinder-master,test_jautils.py,assert_used,85
personfinder-master,test_jautils.py,assert_used,86
personfinder-master,test_jautils.py,assert_used,87
personfinder-master,test_jautils.py,assert_used,88
personfinder-master,test_jautils.py,assert_used,89
personfinder-master,test_jautils.py,assert_used,90
personfinder-master,test_jautils.py,assert_used,91
personfinder-master,test_jautils.py,assert_used,92
personfinder-master,test_jautils.py,assert_used,94
personfinder-master,test_jautils.py,assert_used,96
personfinder-master,test_jautils.py,assert_used,100
personfinder-master,test_jautils.py,assert_used,101
personfinder-master,test_jautils.py,assert_used,102
personfinder-master,test_jautils.py,assert_used,104
personfinder-master,test_jautils.py,assert_used,106
personfinder-master,test_jautils.py,assert_used,110
personfinder-master,test_jautils.py,assert_used,113
personfinder-master,test_jautils.py,assert_used,116
personfinder-master,test_pfif.py,assert_used,858
personfinder-master,test_pfif.py,assert_used,860
personfinder-master,test_pfif.py,assert_used,862
personfinder-master,test_pfif.py,assert_used,864
personfinder-master,test_pfif.py,assert_used,865
personfinder-master,test_pfif.py,assert_used,871
personfinder-master,test_pfif.py,assert_used,873
personfinder-master,test_pfif.py,assert_used,875
personfinder-master,test_pfif.py,assert_used,878
personfinder-master,test_pfif.py,assert_used,880
personfinder-master,test_pfif.py,assert_used,891
personfinder-master,test_pfif.py,assert_used,893
